Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
        0	     	        0	     	        0	     	        0	     	        0
